"school_name","year","cep","eligible","pct_free_reduced","unpaid","debt_per_student"
"Holt","2014-15",0,1,0.964686998394864,224.55,0.360433386837881
"Forestview","2014-15",0,1,0.647807637906648,513.3,0.726025459688826
"Shepard","2014-15",0,1,0.713178294573643,819.92,1.58899224806202
"Lakewood Elementary","2014-15",1,0,0.727078891257996,2.55,0.00543710021321962
"Little River","2014-15",0,1,0.557746478873239,188.21,0.530169014084507
"Lakeview","2014-15",1,1,1,284.44,3.02595744680851
"Lakewood Middle","2014-15",0,NA,0.448763250883392,603.89,2.13388692579505
"Lucas","2014-15",0,1,0.593893129770992,10408.89,15.8914351145038
"Fayetteville Street","2014-15",1,0,0.847736625514403,0,0
"Lowe's Grove","2014-15",0,1,0.814917127071823,1549.31,2.13993093922652
"George Watts","2014-15",0,NA,0.550595238095238,197.74,0.588511904761905
"Mangum","2014-15",0,NA,0.283667621776504,165.03,0.472865329512894
"Merrick Moore","2014-15",1,0,0.596072931276297,87.35,0.122510518934081
"Morehead","2014-15",0,NA,0.476190476190476,969.95,4.61880952380952
"Neal","2014-15",0,1,0.851162790697674,3817.1,4.43848837209302
"Northern","2014-15",0,1,0.59290780141844,1624.27,1.15196453900709
"Oak Grove","2014-15",0,0,0.875216637781629,1310.23,2.27076256499133
"Parkwood","2014-15",0,1,0.747440273037543,1759.55,3.00264505119454
"E K Powe","2014-15",0,1,0.638344226579521,2339.76,5.09751633986928
"Pearsontown","2014-15",0,NA,0.358845671267252,505.19,0.633864491844417
"Riverside","2014-15",0,NA,0.544627629334849,4367.49,2.48293916998294
"Githens","2014-15",0,0,0.715705765407555,2677.82,2.66184890656064
"R N Harris","2014-15",1,1,0.59020618556701,0,0
"Southern","2014-15",0,0,0.697165991902834,9771.19,7.91189473684211
"Sandy Ridge","2014-15",0,1,0.648148148148148,603.26,1.01558922558923
"Rogers Herr","2014-15",0,NA,0.448494453248811,1114.16,1.76570522979398
"Southwest","2014-15",0,1,0.688751926040062,6600.72,10.1706009244992
"C C Spaulding","2014-15",1,0,0.952898550724638,44.4,0.160869565217391
"Spring Valley","2014-15",0,0,0.678321678321678,328.35,0.574038461538462
"W G Pearson Elementary","2014-15",0,1,0.943223443223443,4839.47,8.86349816849817
"Y E Smith","2014-15",1,1,0.776412776412776,0,0
"Hillside New Tech","2014-15",0,NA,0.591078066914498,109.6,0.407434944237918
"Bethesda","2015-16",1,1,0.559398496240601,35,0.0526315789473684
"Brogden","2015-16",0,1,0.733333333333333,871.74,1.49015384615385
"Burton","2015-16",0,1,0.982608695652174,1148,3.32753623188406
"Early College","2015-16",0,0,0.577903682719547,379.8,1.07592067988669
"Eastway","2015-16",1,1,0.891379310344828,10.88,0.0187586206896552
"Jordan","2015-16",0,0,0.444958847736626,2126.44,1.09384773662551
"Easley","2015-16",0,0,0.332185886402754,732.3,1.26041308089501
"School for Creative Studies","2015-16",0,0,0.481553398058252,1123.9,2.18233009708738
"Eno Valley","2015-16",0,1,0.959074733096085,217.75,0.387455516014235
"Carrington","2015-16",0,1,0.690380761523046,1263.44,1.26597194388778
"City of Medicine","2015-16",0,0,0.578767123287671,2506.99,8.58558219178082
"Club","2015-16",0,0,0.623983739837398,142.16,0.288943089430894
"Creekside","2015-16",0,0,0.47588424437299,521.1,0.558520900321543
"Glenn","2015-16",1,1,0.594594594594595,20,0.0284495021337127
"Performance Learning Center","2015-16",0,1,0.653179190751445,578.69,3.3450289017341
"Durham School of the Arts","2015-16",0,0,0.378011117974058,831.29,0.513458925262508
"Hillandale","2015-16",0,1,0.675344563552833,874.15,1.33866768759571
"Hillside","2015-16",0,1,0.616680032076985,836.08,0.670473135525261
"Hope Valley","2015-16",0,1,0.693374422187982,2451.88,3.77793528505393
"Holt","2015-16",0,1,0.926493108728943,445.37,0.682036753445636
"Forestview","2015-16",0,0,0.631001371742112,264.76,0.36318244170096
"Shepard","2015-16",0,1,0.770916334661355,534.12,1.06398406374502
"Lakewood Elementary","2015-16",1,1,0.720930232558139,17.85,0.037737843551797
"Little River","2015-16",0,0,0.529262086513995,241.95,0.615648854961832
"Lakeview","2015-16",1,1,1,360.7,3.57128712871287
"Lakewood Middle","2015-16",0,0,0.426174496644295,891.58,2.99187919463087
"Lucas","2015-16",0,0,0.63036303630363,5868.47,9.68394389438944
"Fayetteville Street","2015-16",1,1,0.741007194244604,33.5,0.120503597122302
"Lowe's Grove","2015-16",0,1,0.818722139673105,683.71,1.01591381872214
"George Watts","2015-16",0,0,0.545714285714286,233.49,0.667114285714286
"Mangum","2015-16",0,0,0.263157894736842,217.74,0.674117647058824
"Merrick Moore","2015-16",1,1,0.62962962962963,15.8,0.0234074074074074
"Morehead","2015-16",0,0,0.506849315068493,175.7,0.802283105022831
"Neal","2015-16",0,1,0.805874840357599,10325.43,13.1870114942529
"Northern","2015-16",0,0,0.579387186629526,1019.32,0.70983286908078
